card_id,txn_id
C06075-K1,3000001
C06075-K1,3010642
C06075-K1,3013900
C06075-K1,3014089
C06075-K1,3064523
C06075-K1,3188119
C06075-K1,3188122
C06075-K1,3188124
C06075-K1,3188139
C06075-K1,3188198
C06075-K1,3188206
C06075-K1,3193358
C06075-K1,3225692
C06075-K1,3257949
C06075-K1,3498241
C07096-K1,3000002
C07096-K1,3002939
C07096-K1,3004174
C07096-K1,3004758
C07096-K1,3004897
C07096-K1,3005962
C07096-K1,3006717
C07096-K1,3006787
C07096-K1,3007152
C07096-K1,3009439
C07096-K1,3010224
C07096-K1,3011537
C07096-K1,3011694
C07096-K1,3013209
C07096-K1,3013589
C07096-K1,3014026
C07096-K1,3016114
C07096-K1,3016373
C07096-K1,3016855
C07096-K1,3016939
C07096-K1,3020792
C07096-K1,3021452
C07096-K1,3023759
C07096-K1,3025243
C07096-K1,3028788
C07096-K1,3029347
C07096-K1,3032717
C07096-K1,3033644
C07096-K1,3036511
C07096-K1,3037826
C07096-K1,3041968
C07096-K1,3045150
C07096-K1,3046742
C07096-K1,3049052
C07096-K1,3051327
C07096-K1,3053836
C07096-K1,3055794
C07096-K1,3056535
C07096-K1,3057407
C07096-K1,3062153
C07096-K1,3067824
C07096-K1,3067899
C07096-K1,3068382
C07096-K1,3068650
C07096-K1,3078913
C07096-K1,3078969
C07096-K1,3080278
C07096-K1,3081266
C07096-K1,3081623
C07096-K1,3081641
C07096-K1,3081647
C07096-K1,3084058
C07096-K1,3084940
C07096-K1,3088669
C07096-K1,3088706
C07096-K1,3088741
C07096-K1,3088828
C07096-K1,3100438
C07096-K1,3102498
C07096-K1,3102518
C07096-K1,3102835
C07096-K1,3103347
C07096-K1,3104137
C07096-K1,3104936
C07096-K1,3107654
C07096-K1,3108398
C07096-K1,3108487
C07096-K1,3109160
C07096-K1,3115794
C07096-K1,3116466
C07096-K1,3118038
C07096-K1,3118883
C07096-K1,3121678
C07096-K1,3121835
C07096-K1,3126584
C07096-K1,3129600
C07096-K1,3130695
C07096-K1,3140299
C07096-K1,3143206
C07096-K1,3143487
C07096-K1,3146968
C07096-K1,3147753
C07096-K1,3149225
C07096-K1,3150708
C07096-K1,3150794
C07096-K1,3153927
C07096-K1,3155262
C07096-K1,3158423
C07096-K1,3159807
C07096-K1,3163042
C07096-K1,3163818
C07096-K1,3164505
C07096-K1,3165131
C07096-K1,3165618
C07096-K1,3167826
C07096-K1,3170549
C07096-K1,3170611
C07096-K1,3171687
C07096-K1,3172348
C07096-K1,3173917
C07096-K1,3175622
C07096-K1,3175629
C07096-K1,3177176
C07096-K1,3177623
C07096-K1,3180009
C07096-K1,3180370
C07096-K1,3181386
C07096-K1,3184013
C07096-K1,3184352
C07096-K1,3184394
C07096-K1,3186770
C07096-K1,3187793
C07096-K1,3189412
C07096-K1,3192627
C07096-K1,3193890
C07096-K1,3201140
C07096-K1,3201321
C07096-K1,3201639
C07096-K1,3201656
C07096-K1,3203705
C07096-K1,3204385
C07096-K1,3206613
C07096-K1,3206979
C07096-K1,3207320
C07096-K1,3208363
C07096-K1,3211384
C07096-K1,3212081
C07096-K1,3212722
C07096-K1,3216471
C07096-K1,3216736
C07096-K1,3216780
C07096-K1,3218777
C07096-K1,3219400
C07096-K1,3221233
C07096-K1,3222952
C07096-K1,3224299
C07096-K1,3225672
C07096-K1,3225820
C07096-K1,3226385
C07096-K1,3227674
C07096-K1,3232109
C07096-K1,3232445
C07096-K1,3235204
C07096-K1,3235668
C07096-K1,3236969
C07096-K1,3238796
C07096-K1,3239420
C07096-K1,3243072
C07096-K1,3243099
C07096-K1,3247015
C07096-K1,3247415
C07096-K1,3247855
C07096-K1,3248151
C07096-K1,3248840
C07096-K1,3250016
C07096-K1,3250527
C07096-K1,3252656
C07096-K1,3252661
C07096-K1,3252748
C07096-K1,3253315
C07096-K1,3253665
C07096-K1,3256393
C07096-K1,3256707
C07096-K1,3257032
C07096-K1,3257239
C07096-K1,3258367
C07096-K1,3258532
C07096-K1,3258906
