txn_id,region_code
3000002,299.0
3000009,299.0
3000011,299.0
3000030,299.0
3000032,299.0
3000045,299.0
3000052,299.0
3000067,299.0
3000072,299.0
3000076,299.0
3000080,299.0
3000098,299.0
3000100,299.0
3000111,299.0
3000116,299.0
3000124,299.0
3000129,299.0
3000132,299.0
3000135,299.0
3000153,299.0
3000157,299.0
3000165,299.0
3000166,299.0
3000173,299.0
3000191,299.0
3000203,299.0
3000209,299.0
3000211,299.0
3000218,299.0
3000222,299.0
3000229,299.0
3000231,299.0
3000233,299.0
3000244,299.0
3000258,299.0
3000278,299.0
3000286,299.0
3000288,299.0
3000293,299.0
3000296,299.0
3000315,299.0
3000365,299.0
3000399,299.0
3000412,299.0
3000445,299.0
3000456,299.0
3000473,299.0
3000525,299.0
3000540,299.0
3000599,299.0
3000714,299.0
3000725,299.0
3000726,299.0
3000765,299.0
3000769,299.0
3000780,299.0
3000785,299.0
3000791,299.0
3000860,299.0
3000864,299.0
3000865,299.0
3000907,299.0
3000927,299.0
3000935,299.0
3000938,299.0
3000954,299.0
3000963,299.0
3000983,299.0
3000999,299.0
3001054,299.0
3001063,299.0
3001068,299.0
3001090,299.0
3001095,299.0
3001117,299.0
3001139,299.0
3001142,299.0
3001148,299.0
3001167,299.0
3001168,299.0
3001202,299.0
3001218,299.0
3001224,299.0
3001227,299.0
3001235,299.0
3001255,299.0
3001281,299.0
3001297,299.0
3001300,299.0
3001345,299.0
3001350,299.0
3001357,299.0
3001378,299.0
3001379,299.0
3001384,299.0
3001391,299.0
3001400,299.0
3001403,299.0
3001418,299.0
3001422,299.0
3001435,299.0
3001441,299.0
3001458,299.0
3001498,299.0
3001500,299.0
3001504,299.0
3001506,299.0
3001517,299.0
3001519,299.0
3001560,299.0
3001566,299.0
3001594,299.0
3001598,299.0
3001617,299.0
3001619,299.0
3001630,299.0
3001631,299.0
3001633,299.0
3001636,299.0
3001638,299.0
3001674,299.0
3001687,299.0
3001688,299.0
3001703,299.0
3001714,299.0
3001722,299.0
3001735,299.0
3001742,299.0
3001748,299.0
3001751,299.0
3001761,299.0
3001763,299.0
3001772,299.0
3001779,299.0
3001781,299.0
3001798,299.0
3001810,299.0
3001817,299.0
3001829,299.0
3001830,299.0
3001834,299.0
3001840,299.0
3001854,299.0
3001855,299.0
3001859,299.0
3001875,299.0
3001878,299.0
3001882,299.0
3001900,299.0
3001918,299.0
3001927,299.0
3001930,299.0
3001936,299.0
3001939,299.0
3001954,299.0
3001956,299.0
3001957,299.0
3001959,299.0
3001961,299.0
3001963,299.0
3001993,299.0
3002032,299.0
3002042,299.0
3002055,299.0
3002056,299.0
3002064,299.0
3002081,299.0
3002094,299.0
3002099,299.0
3002114,299.0
3002117,299.0
3002121,299.0
3002147,299.0
3002191,299.0
3002198,299.0
3002206,299.0
3002210,299.0
3002227,299.0
3002230,299.0
3002237,299.0
3002239,299.0
3002240,299.0
3002242,299.0
3002249,299.0
3002259,299.0
3002264,299.0
3002323,299.0
3002324,299.0
3002335,299.0
3002347,299.0
3002351,299.0
3002353,299.0
3002358,299.0
3002364,299.0
3002384,299.0
3002396,299.0
3002406,299.0
3002408,299.0
3002416,299.0
3002432,299.0
3002433,299.0
3002449,299.0
3002462,299.0
3002468,299.0
3002480,299.0
3002481,299.0
3002494,299.0
3002495,299.0
3002501,299.0
3002502,299.0
3002525,299.0
3002550,299.0
3002551,299.0
3002567,299.0
3002569,299.0
3002576,299.0
3002582,299.0
3002583,299.0
3002597,299.0
3002606,299.0
3002607,299.0
3002609,299.0
3002610,299.0
3002611,299.0
3002613,299.0
3002614,299.0
3002636,299.0
3002641,299.0
3002646,299.0
3002647,299.0
3002648,299.0
3002650,299.0
3002662,299.0
3002665,299.0
3002673,299.0
3002676,299.0
3002682,299.0
3002695,299.0
3002701,299.0
3002708,299.0
3002718,299.0
3002729,299.0
3002750,299.0
3002768,299.0
3002780,299.0
3002786,299.0
3002790,299.0
3002798,299.0
3002802,299.0
3002832,299.0
3002838,299.0
3002841,299.0
3002843,299.0
3002845,299.0
3002853,299.0
3002856,299.0
3002870,299.0
3002871,299.0
3002877,299.0
3002884,299.0
3002893,299.0
3002896,299.0
3002908,299.0
3002912,299.0
3002923,299.0
3002936,299.0
3002943,299.0
3002944,299.0
3002945,299.0
3002947,299.0
3002950,299.0
3002962,299.0
3002964,299.0
3002982,299.0
3002988,299.0
3002996,299.0
3002999,299.0
3003000,299.0
3003001,299.0
3003019,299.0
3003020,299.0
3003032,299.0
3003033,299.0
3003042,299.0
3003076,299.0
3003082,299.0
3003084,299.0
3003093,299.0
3003106,299.0
3003132,299.0
3003170,299.0
3003175,299.0
3003181,299.0
3003238,299.0
3003258,299.0
3003297,299.0
3003328,299.0
3003357,299.0
3003460,299.0
3003462,299.0
3003473,299.0
3003577,299.0
3003592,299.0
3003650,299.0
3003652,299.0
3003653,299.0
3003681,299.0
3003685,299.0
3003695,299.0
3003708,299.0
3003709,299.0
3003713,299.0
3003715,299.0
3003725,299.0
3003753,299.0
3003762,299.0
3003764,299.0
3003769,299.0
3003797,299.0
3003804,299.0
3003823,299.0
3003847,299.0
3003853,299.0
3003888,299.0
3003890,299.0
3003921,299.0
3003931,299.0
3003943,299.0
3003958,299.0
3003965,299.0
3003984,299.0
3004003,299.0
3004022,299.0
3004043,299.0
3004055,299.0
3004061,299.0
3004066,299.0
3004071,299.0
3004078,299.0
3004116,299.0
3004131,299.0
3004132,299.0
3004140,299.0
3004159,299.0
3004164,299.0
3004215,299.0
3004231,299.0
3004243,299.0
3004246,299.0
3004251,299.0
3004272,299.0
3004286,299.0
3004296,299.0
3004303,299.0
3004312,299.0
3004324,299.0
3004331,299.0
3004344,299.0
3004375,299.0
3004385,299.0
3004447,299.0
3004456,299.0
3004460,299.0
3004468,299.0
3004472,299.0
3004478,299.0
3004483,299.0
3004485,299.0
3004509,299.0
3004512,299.0
3004528,299.0
3004567,299.0
3004582,299.0
3004583,299.0
3004592,299.0
3004597,299.0
3004603,299.0
3004616,299.0
3004622,299.0
3004661,299.0
3004665,299.0
3004667,299.0
3004679,299.0
3004684,299.0
3004708,299.0
3004720,299.0
3004740,299.0
3004741,299.0
3004748,299.0
3004754,299.0
3004761,299.0
3004771,299.0
3004782,299.0
3004794,299.0
3004801,299.0
3004807,299.0
3004827,299.0
3004853,299.0
3004870,299.0
3004890,299.0
3004891,299.0
3004899,299.0
3004902,299.0
3004903,299.0
3004918,299.0
3004921,299.0
3004932,299.0
3004938,299.0
3004953,299.0
3004963,299.0
3004968,299.0
3004984,299.0
3004997,299.0
3005034,299.0
3005046,299.0
3005078,299.0
3005086,299.0
3005087,299.0
3005091,299.0
3005093,299.0
3005094,299.0
3005102,299.0
3005112,299.0
3005115,299.0
3005116,299.0
3005124,299.0
3005136,299.0
3005153,299.0
3005156,299.0
3005172,299.0
3005176,299.0
3005178,299.0
3005191,299.0
3005211,299.0
3005213,299.0
3005219,299.0
3005258,299.0
3005259,299.0
3005260,299.0
3005283,299.0
3005287,299.0
3005297,299.0
3005306,299.0
3005317,299.0
3005319,299.0
3005322,299.0
3005330,299.0
3005341,299.0
3005344,299.0
3005346,299.0
3005353,299.0
3005393,299.0
3005413,299.0
3005414,299.0
3005415,299.0
3005418,299.0
3005436,299.0
3005447,299.0
3005453,299.0
3005479,299.0
3005484,299.0
3005485,299.0
3005487,299.0
3005495,299.0
3005500,299.0
3005507,299.0
3005517,299.0
3005537,299.0
3005547,299.0
3005557,299.0
3005570,299.0
3005579,299.0
3005587,299.0
3005592,299.0
3005601,299.0
3005617,299.0
3005618,299.0
3005625,299.0
3005634,299.0
3005637,299.0
3005643,299.0
3005662,299.0
3005670,299.0
3005682,299.0
3005683,299.0
3005691,299.0
