txn_id,device_key
3000001,1251cde029ae
3000016,ce4b5403d33d
3000028,b07213b54c4b
3000029,56be3567a4a2
3000057,31b2f7bf335d
3000123,a0018bd366d4
3000152,5f3cb89e1d69
3000155,49672d6dde32
3000158,adafd9b7a2e8
3000171,f59447ee97c4
3000172,f5875d642aff
3000181,8aa69113ab68
3000182,f0d3e241bf4d
3000190,e036a2bdcdcb
3000197,8c52ae837970
3000204,e4ef0d9d69c9
3000227,af0ab2ee514e
3000237,4960e6ada4d4
3000284,581ca4bed9ce
3000303,8dee7f801ff5
3000314,d52798711352
3000322,8b9aab967308
3000366,e718315efa0f
3000381,5333a9d890c0
3000403,317127dce5b6
3000447,9ad0561de197
3000519,daaa92c06c9b
3000613,a8ebe858962e
3000622,65bcf6f49d6f
3000795,ffbfbedb82ba
3000904,3e5038838ce3
3000932,4e77e59a4578
3000960,2032b6aa3f13
3000975,e779792d93ff
3000987,4a939d47d533
3000989,9ae67f4a19eb
3001024,d1b4b9c00a55
3001073,0bb7d2925b83
3001159,94bc2538a815
3001172,7754db37d51e
3001176,93a89b28260c
3001180,073e819c7853
3001213,81e640b23bb1
3001229,4560444cc39e
3001369,53f1d42937ee
3001402,126aaf521808
3001479,af85833a8457
3001480,82af0652d603
3001498,092c25614ca0
3001501,4274d29cd3e5
3001509,4d2febf2cb4d
3001533,30482999789a
3001565,896bd20dc18d
3001667,e4a550fd79ea
3001668,423ec2b1354f
3001701,11e6e8f33894
3001711,dd606bb09602
3001728,49fee2e2d318
3001730,a76cd497ed0f
3001750,e6fd493b9d66
3001769,1a73666d6695
3001814,66f9ff60dda1
3001851,29be4225c543
3001907,d76dbf5d8808
3001945,ec29bb593a61
3002036,9f9d2cf3568c
3002039,e1ff3604ee96
3002069,aa5b093f2b81
3002092,9c3d34038407
3002099,f9cba7f06e42
3002140,5c80fd7da3cf
3002144,4e1fa87e60ea
3002145,12def0c0f6f6
3002179,d3c6a5d33d0a
3002278,23d9d71f063c
3002282,365d9339aba4
3002362,82692e0f37d1
3002385,b4caa6381b0b
3002420,2fa4eed12f33
3002458,63f7b07ab899
3002519,30224d7846d8
3002549,692f5391efdc
3002595,112fca0197be
3002601,d3ea8557679e
3002653,0aaf8ce349fa
3002655,800eb72abd87
3002670,a958a46e9809
3002741,1c81c21a1c24
3002771,979d4fcc16b8
3002795,97727cb4bc87
3002796,7eaac7fbb909
3002820,2cc223b12e98
3002828,2cc223b12e98
3002829,e02afea40508
3002839,9637c581f8d5
3002840,997a35d4e74f
3002860,7938ea0e8c05
3002879,e7c341806f71
3002898,6a2959aa2bde
3002909,f22800403edf
3002910,95d5033e688a
3002916,22ea036e3795
3002925,9791a8038fa5
3002966,9e935b860f23
3002974,b644cefac2df
3003026,139f90bfed19
3003049,2a2da7e0d63a
3003073,9d43d00cd5fb
3003111,daac9f1d9e75
3003331,a029803436d6
3003334,078411e15f28
3003350,25b4c4206e47
3003359,18d29fe099ec
3003372,35821c72ac4e
3003412,d1fd07b9a69f
3003452,3cc02e0f6cb8
3003481,adec4ffdd9c3
3003502,36cc6991ae71
3003585,2da1babbe7d6
3003607,056919ee72aa
3003620,ee23125d9315
3003623,c5a060535f48
3003779,cefad8bbbadc
3003885,662ff6088a77
3003968,74340fe7228d
3003982,4e40780437c2
3004004,ba80b707f891
3004010,058968ddabc2
3004097,58c705c537ab
3004197,6f65d9500e3d
3004207,8264569aa7c9
3004240,2750508cec65
3004260,1fd51c7382d8
3004279,29855d266067
3004294,a81ee40129da
3004308,b59f271f0017
3004451,c04467efde20
3004458,c409b22b8592
3004499,ba5f9cb29c93
3004503,40bf2e101480
3004554,f86da54c36d5
3004560,9c0ffbd11874
3004588,f4211060e98d
3004601,35fb653494f0
3004660,8da924a54d7d
3004683,425cba6298e2
3004711,a19898981ebd
3004734,1abcb4112fa7
3004746,9a8392b414b2
3004752,5151e48136cb
3004772,d63fa0ee2a90
3004802,29d9918d64f9
3004838,7a8838581d20
3004842,27abedd516d6
3004895,fbf63bc49c4a
3004910,c71059c44f74
3005024,fcf95eac0421
3005052,390f090f75d8
3005093,cfdda47b2010
3005097,cc89f7af1f5d
3005136,fdc6f274d4a3
3005138,3eba0738a111
3005207,3c67614ac9fa
3005259,b5f56ae9e9f6
3005277,8315759c5b60
3005283,860e739e09dd
3005297,192bc6083dd3
3005306,551b8a5c93ff
3005332,9c2b6f064984
3005353,d6c73bceaeee
3005510,2e4ecfdc0a19
3005518,56dad6bc626c
3005520,dc1eec208f7c
3005530,76c9d511b1df
3005562,72a606474b52
3005671,98114f42367b
3005708,ad6f14c3ceb8
3005709,03e056a7ebe1
3005755,d2831a8b3687
3005786,b384d616e7ec
3005793,d81265111e5c
3005867,fb87dbec4b29
3005904,71d6247dc298
3005909,95b669a24071
3005930,5ac2e70f4f47
3005956,4b98b3b11492
3005969,112976760e80
3005971,0ed016dcb70b
3005977,86d163c4441d
3005978,53475d31165e
3005996,2de8533a5149
3006010,e9b06089b61b
3006014,cff57ae903c3
3006040,60b5297b29d7
3006091,79219a4db607
3006103,b78af8cb1b00
3006110,9fe32a5d78f3
3006115,f25efcc29311
3006128,742f6fe22ef9
3006148,3fbe831b1bd6
3006161,fd0ee63596ae
3006187,8563001e64e5
3006200,70d2725a5455
3006201,df5b7df50579
3006216,815c94600354
3006218,71a9f59f4ae6
3006316,fae95a004872
3006381,255f986ea8db
3006430,2f111a06ae02
3006438,bbbaca2ac540
3006473,c87b51f28d2b
3006481,c2bb0b8f03da
3006495,4120adab085b
3006514,a757b00f314d
3006545,b7dabd84ffb9
3006568,db61a3524eca
3006613,2628aab12e83
3006627,13131c07d732
3006647,07edcd75abad
3006651,b879af8b19f2
3006667,dc32f074731e
3006694,ed3d4c6bbc5a
3006695,4aa402d2d8e4
3006707,aee0505f35e6
3006747,fcb442717108
3006763,e2501bea4302
3006813,cafe7ce26bf2
3006828,ed460eb39148
3006880,31fc90534c59
3006947,ec2d164fd0d1
3006991,cbb28306fa29
3007010,ce08f19092c7
3007035,57b6ffece177
3007074,9090046dc13a
3007202,faa580f8be8b
3007220,e43e80d21e26
3007285,0f58d343c297
3007343,d32e72c71c80
3007349,05ea4cb000fb
3007480,31850e183d15
3007504,e7db459a99a1
3007567,42a87df1724a
3007598,151e12a5959d
3007625,38f1cd2ce652
3007754,00aeabfe8b0c
3007810,7b85f9a408e7
3007830,d3a981e943b1
3007867,fc2e1b1eee33
3007946,934647fe1f11
3007979,d3af9e684217
3008013,047ac64fabd6
3008067,469436862656
3008090,4e5283c7382d
3008093,6e4408d3a3e8
3008139,1fb8199f1a1a
3008148,9adcb781392c
3008215,703506370648
3008225,3136254e34b6
3008250,d02c97567db2
3008267,1580dff6dcee
3008339,a15e0c58959c
3008367,8224ed795084
3008378,c7f932629c49
3008384,52ab7c16b1c6
3008404,70af77fb9bf3
3008421,226d07d9a9e9
3008448,f7285bbdfeeb
3008597,36a78d714d3b
3008610,1ffe4642c475
3008786,4ea402a9c9ca
3008837,22158440ea53
3008863,ee1c7acf3c41
3008935,506918ccb493
3008943,fcf983d9b3d2
3009007,f01eb5ad3ce9
3009025,68341bfacd8b
3009083,ddb1946a1e83
3009085,8705550e1dfd
3009115,71acb801ee7f
3009168,306cdd29428f
3009184,1ee0a2d7b22e
3009203,a0502ef63c45
3009237,bd9fefa260c5
3009243,58d0a7db162c
3009272,4d0c6e760c5b
3009391,9acd58379e3d
3009425,2cf66d9e1e24
3009525,978eb1e15ce0
3009568,285a0b5bf1b0
3009584,52ab55068031
3009587,8bd6efb15852
3009592,595caf191d51
3009617,15f6cc8309c6
3009629,e21742b49bc1
3009630,ce5a89d90b84
3009639,2c35d8b7640d
3009649,f5be38459295
3009659,aad67ace5647
3009663,83eff4f31837
3009667,7ddab7fcc748
3009686,0b860ea9935f
3009828,8de4de267e1a
3009836,9d4d4d1d2062
3009868,8542e9f6cc80
3009917,ba8c5a2c43b9
3009934,7dc2479343e4
3009946,0bc65a29a1cb
3009952,0a0673704b7c
3009966,4db2b6f6cee9
3009983,6c62754ed885
3009988,351ebe485b21
3009991,b6009194e680
3009993,8b435e1e856e
3009995,665fa0b4d9d0
3010006,0c1c0d474b10
3010016,2c81c6836a5a
3010022,1aa088b82db8
3010026,de7b9c2cf65d
3010050,47b0ee268802
3010078,08ad91d87aaf
3010120,a503028132ea
3010128,34a7367dbb69
3010137,d41011832dc4
3010139,fdae424e90ea
3010144,9ccfcbf6978c
3010146,bdf5be9615d0
3010147,98d2bec40ee6
3010152,c84be3668399
3010209,c55d5962760e
3010223,b0780d9759c2
3010227,4e2982e908ae
3010244,b1ece47a4bd4
3010263,cdf3db3b28f1
3010346,18172fa41891
3010347,348118c40088
3010357,cbaa8b8a247f
3010405,97f4e44ab078
3010485,0ec62bc844ab
3010588,550a2ec20c09
3010622,10e9f36b1b95
3010640,c4c8fcc1b3e0
3010661,39c05431aed9
3010687,c7da92624e96
3010707,a95e59410ac3
3010725,b4006ea9e86a
3010733,d391892272d0
3010764,f46238ba2484
3010838,b7ef9ab8e0f1
3010863,98ec56e76f18
3010908,0f456fe7999c
3010971,13dc4df747d9
3011068,2ab0cd427c96
3011071,d024c71ff048
3011110,59994a8a3efd
3011123,c25ce818486e
3011130,17cd11cc9edd
3011174,dd9a1f8f4b09
3011180,e3e87e797aeb
3011225,dc0b2e221e45
3011236,03a702fdf5c0
3011253,3780c6932b1f
3011257,4f086a4e30d9
3011411,5ea981870c15
3011454,276807ec1d69
3011455,4d8c1512eb93
3011527,a929b5258941
3011543,908cc21bc813
3011556,80aea620401e
3011572,e0233b250d2e
3011599,ba7e30501eff
3011648,ee71683705bf
3011660,48c0ed1999ea
3011762,0ba085ed1420
3011764,92d4e84ca014
3011765,91e9a5d5bf89
3011848,da9b35fea22c
3011850,e06671d86aca
3011852,4c4ce906cb43
3011886,85031b7009c1
3011899,aec4c35e84d4
3011956,e257aa034422
3012041,1d74fdac80e4
3012055,30ed8308e9c9
3012070,60259a69ad48
3012082,57409838a7db
3012093,d2b13db475fb
3012267,24b26129d0f1
3012271,5b3aad64e352
3012289,89a9d414d1d4
3012291,bce4b9da583e
3012333,5653395adc27
3012379,8b43227bdb14
3012436,d8b2ee1e2d7e
3012459,372a83e11d38
3012492,ed7f91fc99d2
3012594,20addc5c44f5
3012604,5ca085e47504
3012612,ef7c9c6481e1
3012624,5b061d76f6cc
3012642,2fbb1e7d5c91
3012689,0d35f810eaea
3012720,331abd2fea87
3012741,a8574d4ca488
3012779,3c2a25a581cf
3012786,c9f67b764062
3012791,e4997811d7be
3012792,ec90dd346cea
3012811,e8cdef8af043
3012873,f53285b3478f
3012878,be550ebbb4a6
3012895,ca2894afbe2d
3012900,6b263e0219ba
3012919,6c40fd3c70e1
3012922,41c69fc1c0ae
3012965,0df45b9adf98
3012970,72e2bdc9611a
3013023,4a305883c107
3013025,d1d380c7f931
3013029,ca3ffd13bfef
3013060,a4f0bad7521c
3013092,f21b84ec5b0c
3013104,ea8ddfd1bf4c
3013160,aac11be3d62e
3013177,f6ec97db61bd
3013246,bf8dcddafbb1
3013310,8f2e86f60661
3013320,918072fbc957
3013324,ee1edc6935cc
3013344,3767c1ab3814
3013347,16afd03fe383
3013350,0059cfb53d3b
3013373,42ccb0e6d312
3013387,58038a328342
3013391,8af7cbc49ee8
3013413,0132863fb97b
3013424,99d81c199ab4
3013440,c49066f571bf
3013449,e8c7dece46f7
3013466,55eb99b4d37e
3013477,adf70412ee8b
3013513,63d1d8a56576
3013527,95a5b976ce21
3013537,39292fd74d49
3013543,4a0ac9f875f8
3013544,2f72749ee35b
3013562,04d195991a16
3013570,64f7a802cdbc
3013573,01dffc0a8de8
3013591,27c39bd3fc75
3013603,70b06e1c067e
3013605,12a449c97f1b
3013627,cb3d8d21969b
3013628,39ee4754927b
3013648,4aea8894a8f4
3013672,065855827fa8
3013703,5c7d0a89e0fd
3013710,728f34d0cd56
3013715,ee92dddb1b63
3013720,b856a9e85123
3013734,c1bbce5bbf28
3013749,18ae8dad0fb1
3013829,a612bf65c1aa
